entrega_id,venta_id,fecha_envio,fecha_entrega,estado,tipo_entrega,empresa_logistica,cumplimiento_72h
ET-02515,C-002515,2025-08-28,,Enviado,Propia,,
ET-02516,C-002516,2025-07-21,2025-07-23,Entregado,Logística,SEUR,Entregado a tiempo
ET-02517,C-002517,2025-08-03,2025-08-07,Entregado,Propia,,Retrasado
ET-02519,C-002519,2025-07-22,2025-07-25,Entregado,Propia,,Entregado a tiempo
ET-02520,C-002520,2025-08-03,,Enviado,Propia,,
ET-02521,C-002521,2025-06-03,,Enviado,Logística,DHL,
ET-02524,C-002524,2025-08-28,2025-08-31,Entregado,Propia,,Entregado a tiempo
ET-02526,C-002526,2025-06-13,2025-06-13,Entregado,Propia,,Entregado a tiempo
ET-02528,C-002528,,,Pendiente,Propia,,
ET-02529,C-002529,2025-06-09,,Enviado,Propia,,
ET-02530,C-002530,,,Pendiente,Logística,MRW,
ET-02531,C-002531,2025-06-23,,Enviado,Propia,,
ET-02532,C-002532,2025-06-22,2025-06-23,Entregado,Logística,MRW,Entregado a tiempo
ET-02534,C-002534,2025-07-20,,Enviado,Logística,Amazon Logistics,
ET-02535,C-002535,2025-08-25,2025-08-27,Entregado,Propia,,Entregado a tiempo
ET-02536,C-002536,,,Pendiente,Logística,MRW,
ET-02538,C-002538,2025-06-20,2025-06-20,Entregado,Propia,,Entregado a tiempo
ET-02540,C-002540,2025-07-28,,Enviado,Logística,Correos Express,
ET-02541,C-002541,2025-06-20,2025-06-20,Entregado,Propia,,Entregado a tiempo
ET-02544,C-002544,2025-08-26,2025-08-28,Entregado,Logística,MRW,Entregado a tiempo
ET-02545,C-002545,2025-07-17,,Enviado,Propia,,
ET-02547,C-002547,2025-07-02,,Enviado,Logística,UPS,
ET-02550,C-002550,,,Pendiente,Propia,,
ET-02551,C-002551,2025-08-04,,Enviado,Logística,UPS,
ET-02553,C-002553,2025-06-24,,Enviado,Logística,FedEx,
ET-02554,C-002554,2025-06-21,,Enviado,Propia,,
ET-02556,C-002556,2025-07-02,,Enviado,Logística,Correos Express,
ET-02558,C-002558,,,Pendiente,Logística,Amazon Logistics,
ET-02559,C-002559,2025-06-11,,Enviado,Logística,Correos Express,
ET-02560,C-002560,2025-07-15,,Cancelado,Propia,,
ET-02561,C-002561,2025-07-27,,Enviado,Logística,MRW,
ET-02562,C-002562,2025-06-05,,Enviado,Logística,FedEx,
ET-02563,C-002563,2025-06-06,,Enviado,Propia,,
ET-02566,C-002566,2025-07-05,2025-07-07,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02567,C-002567,,,Pendiente,Logística,SEUR,
ET-02569,C-002569,2025-08-02,2025-08-05,Entregado,Logística,MRW,Entregado a tiempo
ET-02570,C-002570,2025-08-16,2025-08-19,Entregado,Propia,,Entregado a tiempo
ET-02571,C-002571,2025-07-13,,Enviado,Propia,,
ET-02572,C-002572,2025-06-11,2025-06-15,Entregado,Propia,,Retrasado
ET-02573,C-002573,2025-07-08,,Enviado,Logística,MRW,
ET-02576,C-002576,2025-07-02,2025-07-02,Entregado,Logística,MRW,Entregado a tiempo
ET-02577,C-002577,2025-06-15,,Cancelado,Logística,UPS,
ET-02578,C-002578,2025-06-13,2025-06-17,Entregado,Logística,DHL,Retrasado
ET-02582,C-002582,2025-07-06,2025-07-10,Entregado,Logística,UPS,Retrasado
ET-02584,C-002584,,,Pendiente,Propia,,
ET-02585,C-002585,2025-07-22,2025-07-24,Entregado,Logística,FedEx,Entregado a tiempo
ET-02586,C-002586,2025-06-17,2025-06-20,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02588,C-002588,2025-08-13,2025-08-17,Entregado,Logística,DHL,Retrasado
ET-02589,C-002589,2025-06-28,2025-07-01,Entregado,Logística,MRW,Entregado a tiempo
ET-02590,C-002590,2025-08-27,,Enviado,Propia,,
ET-02591,C-002591,2025-08-18,2025-08-18,Entregado,Propia,,Entregado a tiempo
ET-02592,C-002592,2025-07-11,,Enviado,Logística,Amazon Logistics,
ET-02599,C-002599,2025-08-22,2025-08-26,Entregado,Propia,,Retrasado
ET-02601,C-002601,2025-07-13,2025-07-14,Entregado,Logística,UPS,Entregado a tiempo
ET-02603,C-002603,2025-06-06,,Cancelado,Propia,,
ET-02604,C-002604,2025-06-03,2025-06-04,Entregado,Logística,FedEx,Entregado a tiempo
ET-02605,C-002605,2025-07-16,2025-07-19,Entregado,Propia,,Entregado a tiempo
ET-02610,C-002610,2025-06-14,,Cancelado,Propia,,
ET-02611,C-002611,2025-06-13,,Cancelado,Propia,,
ET-02612,C-002612,2025-08-12,2025-08-12,Entregado,Propia,,Entregado a tiempo
ET-02613,C-002613,2025-07-31,2025-08-01,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02614,C-002614,2025-08-10,2025-08-11,Entregado,Propia,,Entregado a tiempo
ET-02616,C-002616,2025-06-06,,Cancelado,Propia,,
ET-02617,C-002617,2025-07-17,2025-07-20,Entregado,Logística,MRW,Entregado a tiempo
ET-02618,C-002618,2025-05-31,2025-05-31,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02619,C-002619,2025-08-06,2025-08-09,Entregado,Propia,,Entregado a tiempo
ET-02622,C-002622,2025-08-01,2025-08-01,Entregado,Logística,FedEx,Entregado a tiempo
ET-02624,C-002624,2025-06-06,2025-06-10,Entregado,Propia,,Retrasado
ET-02626,C-002626,2025-07-14,2025-07-15,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02627,C-002627,,,Pendiente,Propia,,
ET-02628,C-002628,2025-06-05,,Enviado,Logística,DHL,
ET-02629,C-002629,2025-06-30,,Cancelado,Logística,MRW,
ET-02630,C-002630,2025-06-28,,Enviado,Logística,UPS,
ET-02631,C-002631,2025-08-18,2025-08-22,Entregado,Logística,DHL,Retrasado
ET-02632,C-002632,2025-06-06,,Enviado,Logística,MRW,
ET-02633,C-002633,2025-06-06,2025-06-09,Entregado,Logística,SEUR,Entregado a tiempo
ET-02635,C-002635,2025-08-05,,Enviado,Logística,UPS,
ET-02637,C-002637,2025-07-28,2025-08-01,Entregado,Logística,DHL,Retrasado
ET-02638,C-002638,2025-08-29,,Enviado,Logística,Amazon Logistics,
ET-02639,C-002639,2025-07-10,,Enviado,Logística,UPS,
ET-02640,C-002640,2025-08-05,2025-08-08,Entregado,Propia,,Entregado a tiempo
ET-02641,C-002641,,,Pendiente,Logística,Correos Express,
ET-02642,C-002642,2025-07-23,,Enviado,Logística,Correos Express,
ET-02643,C-002643,2025-08-18,,Enviado,Logística,FedEx,
ET-02644,C-002644,2025-07-05,,Enviado,Logística,MRW,
ET-02645,C-002645,2025-08-23,2025-08-26,Entregado,Propia,,Entregado a tiempo
ET-02646,C-002646,2025-07-09,2025-07-10,Entregado,Logística,DHL,Entregado a tiempo
ET-02648,C-002648,2025-07-14,2025-07-15,Entregado,Propia,,Entregado a tiempo
ET-02649,C-002649,2025-08-29,,Enviado,Propia,,
ET-02650,C-002650,2025-07-22,,Enviado,Logística,MRW,
ET-02652,C-002652,2025-06-15,,Enviado,Logística,MRW,
ET-02657,C-002657,2025-07-21,,Enviado,Propia,,
ET-02659,C-002659,,,Pendiente,Logística,SEUR,
ET-02660,C-002660,2025-07-06,2025-07-07,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02665,C-002665,2025-06-10,2025-06-13,Entregado,Logística,MRW,Entregado a tiempo
ET-02666,C-002666,,,Pendiente,Logística,SEUR,
ET-02668,C-002668,2025-05-31,2025-06-02,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02672,C-002672,2025-07-14,2025-07-16,Entregado,Propia,,Entregado a tiempo
ET-02673,C-002673,2025-06-17,2025-06-21,Entregado,Propia,,Retrasado
ET-02674,C-002674,2025-08-20,,Enviado,Logística,SEUR,
ET-02676,C-002676,2025-06-26,2025-06-27,Entregado,Logística,UPS,Entregado a tiempo
ET-02677,C-002677,2025-06-21,,Enviado,Logística,FedEx,
ET-02678,C-002678,2025-08-14,2025-08-16,Entregado,Propia,,Entregado a tiempo
ET-02679,C-002679,,,Pendiente,Logística,FedEx,
ET-02681,C-002681,2025-08-09,2025-08-12,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02682,C-002682,2025-06-29,,Enviado,Logística,MRW,
ET-02686,C-002686,,,Pendiente,Logística,UPS,
ET-02690,C-002690,,,Pendiente,Propia,,
ET-02691,C-002691,2025-08-03,2025-08-03,Entregado,Propia,,Entregado a tiempo
ET-02695,C-002695,2025-08-01,2025-08-02,Entregado,Propia,,Entregado a tiempo
ET-02696,C-002696,2025-07-02,,Enviado,Propia,,
ET-02697,C-002697,2025-06-28,,Enviado,Propia,,
ET-02698,C-002698,2025-07-06,,Enviado,Logística,MRW,
ET-02700,C-002700,2025-06-07,2025-06-11,Entregado,Propia,,Retrasado
ET-02701,C-002701,2025-08-17,,Enviado,Propia,,
ET-02702,C-002702,2025-07-30,2025-07-31,Entregado,Propia,,Entregado a tiempo
ET-02704,C-002704,,,Pendiente,Logística,Correos Express,
ET-02706,C-002706,2025-07-07,,Enviado,Logística,FedEx,
ET-02707,C-002707,2025-06-28,,Enviado,Logística,Correos Express,
ET-02708,C-002708,2025-07-31,2025-08-03,Entregado,Propia,,Entregado a tiempo
ET-02711,C-002711,2025-08-26,2025-08-28,Entregado,Logística,DHL,Entregado a tiempo
ET-02712,C-002712,2025-08-03,,Enviado,Logística,UPS,
ET-02716,C-002716,2025-08-22,,Enviado,Propia,,
ET-02718,C-002718,2025-07-20,,Enviado,Logística,DHL,
ET-02719,C-002719,2025-07-14,2025-07-14,Entregado,Logística,SEUR,Entregado a tiempo
ET-02720,C-002720,2025-08-27,,Enviado,Propia,,
ET-02722,C-002722,,,Pendiente,Propia,,
ET-02726,C-002726,2025-06-21,2025-06-23,Entregado,Propia,,Entregado a tiempo
ET-02729,C-002729,2025-07-13,,Cancelado,Logística,Amazon Logistics,
ET-02730,C-002730,2025-06-28,,Cancelado,Propia,,
ET-02731,C-002731,2025-06-08,,Cancelado,Logística,UPS,
ET-02733,C-002733,2025-07-15,,Enviado,Logística,Correos Express,
ET-02735,C-002735,,,Pendiente,Logística,FedEx,
ET-02736,C-002736,2025-07-12,2025-07-16,Entregado,Propia,,Retrasado
ET-02738,C-002738,2025-06-21,2025-06-22,Entregado,Propia,,Entregado a tiempo
ET-02739,C-002739,2025-06-21,2025-06-25,Entregado,Propia,,Retrasado
ET-02740,C-002740,2025-08-07,2025-08-10,Entregado,Propia,,Entregado a tiempo
ET-02741,C-002741,2025-07-26,2025-07-26,Entregado,Propia,,Entregado a tiempo
ET-02742,C-002742,2025-06-24,2025-06-24,Entregado,Propia,,Entregado a tiempo
ET-02743,C-002743,2025-08-28,,Enviado,Logística,Correos Express,
ET-02745,C-002745,2025-08-08,,Enviado,Logística,Amazon Logistics,
ET-02746,C-002746,2025-08-21,,Enviado,Propia,,
ET-02747,C-002747,2025-08-01,2025-08-01,Entregado,Logística,FedEx,Entregado a tiempo
ET-02748,C-002748,2025-08-24,2025-08-24,Entregado,Propia,,Entregado a tiempo
ET-02749,C-002749,2025-08-15,,Enviado,Logística,Amazon Logistics,
ET-02751,C-002751,2025-08-08,,Enviado,Logística,MRW,
ET-02752,C-002752,2025-06-01,,Enviado,Propia,,
ET-02753,C-002753,2025-07-10,2025-07-12,Entregado,Propia,,Entregado a tiempo
ET-02758,C-002758,,,Pendiente,Logística,DHL,
ET-02760,C-002760,2025-07-07,2025-07-09,Entregado,Propia,,Entregado a tiempo
ET-02763,C-002763,,,Pendiente,Propia,,
ET-02765,C-002765,2025-08-14,2025-08-14,Entregado,Propia,,Entregado a tiempo
ET-02766,C-002766,2025-07-07,,Enviado,Propia,,
ET-02767,C-002767,2025-07-27,,Enviado,Logística,UPS,
ET-02768,C-002768,2025-07-28,2025-07-30,Entregado,Logística,DHL,Entregado a tiempo
ET-02770,C-002770,2025-08-23,,Enviado,Logística,UPS,
ET-02771,C-002771,2025-08-21,2025-08-21,Entregado,Propia,,Entregado a tiempo
ET-02772,C-002772,2025-07-20,2025-07-23,Entregado,Logística,MRW,Entregado a tiempo
ET-02775,C-002775,2025-07-29,2025-07-30,Entregado,Propia,,Entregado a tiempo
ET-02776,C-002776,2025-06-25,,Enviado,Logística,FedEx,
ET-02777,C-002777,2025-08-20,2025-08-22,Entregado,Logística,UPS,Entregado a tiempo
ET-02781,C-002781,2025-06-11,,Enviado,Propia,,
ET-02782,C-002782,2025-07-14,2025-07-14,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02783,C-002783,2025-07-05,2025-07-09,Entregado,Logística,MRW,Retrasado
ET-02785,C-002785,2025-06-10,2025-06-11,Entregado,Logística,DHL,Entregado a tiempo
ET-02786,C-002786,2025-08-16,2025-08-16,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02787,C-002787,2025-07-04,2025-07-08,Entregado,Logística,FedEx,Retrasado
ET-02789,C-002789,,,Pendiente,Propia,,
ET-02790,C-002790,2025-08-13,,Cancelado,Propia,,
ET-02792,C-002792,2025-07-26,2025-07-29,Entregado,Logística,MRW,Entregado a tiempo
ET-02795,C-002795,,,Pendiente,Logística,MRW,
ET-02796,C-002796,2025-06-06,,Enviado,Propia,,
ET-02797,C-002797,2025-06-18,2025-06-20,Entregado,Propia,,Entregado a tiempo
ET-02799,C-002799,2025-07-12,,Cancelado,Propia,,
ET-02801,C-002801,2025-08-03,,Enviado,Logística,DHL,
ET-02802,C-002802,2025-07-26,2025-07-26,Entregado,Propia,,Entregado a tiempo
ET-02804,C-002804,2025-06-14,,Enviado,Logística,FedEx,
ET-02805,C-002805,2025-06-24,2025-06-28,Entregado,Propia,,Retrasado
ET-02806,C-002806,2025-07-15,2025-07-17,Entregado,Logística,MRW,Entregado a tiempo
ET-02807,C-002807,2025-06-12,,Cancelado,Logística,Correos Express,
ET-02808,C-002808,2025-06-06,,Enviado,Propia,,
ET-02809,C-002809,2025-07-21,2025-07-22,Entregado,Logística,MRW,Entregado a tiempo
ET-02812,C-002812,,,Pendiente,Propia,,
ET-02813,C-002813,,,Pendiente,Logística,Correos Express,
ET-02816,C-002816,2025-06-03,2025-06-04,Entregado,Logística,MRW,Entregado a tiempo
ET-02817,C-002817,2025-07-07,,Enviado,Logística,SEUR,
ET-02819,C-002819,2025-06-01,2025-06-03,Entregado,Propia,,Entregado a tiempo
ET-02820,C-002820,2025-08-22,,Enviado,Propia,,
ET-02821,C-002821,2025-07-17,,Cancelado,Propia,,
ET-02822,C-002822,2025-06-20,2025-06-23,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02823,C-002823,2025-08-18,2025-08-22,Entregado,Logística,DHL,Retrasado
ET-02824,C-002824,2025-08-17,2025-08-20,Entregado,Logística,MRW,Entregado a tiempo
ET-02826,C-002826,2025-06-24,,Enviado,Logística,MRW,
ET-02830,C-002830,2025-08-24,,Cancelado,Propia,,
ET-02831,C-002831,2025-07-28,,Cancelado,Propia,,
ET-02836,C-002836,2025-08-21,,Enviado,Logística,Amazon Logistics,
ET-02837,C-002837,2025-08-01,,Enviado,Logística,SEUR,
ET-02840,C-002840,2025-07-15,2025-07-17,Entregado,Logística,FedEx,Entregado a tiempo
ET-02842,C-002842,2025-06-01,2025-06-05,Entregado,Propia,,Retrasado
ET-02846,C-002846,2025-07-14,2025-07-17,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02847,C-002847,2025-07-16,2025-07-18,Entregado,Logística,UPS,Entregado a tiempo
ET-02848,C-002848,2025-06-20,2025-06-24,Entregado,Propia,,Retrasado
ET-02849,C-002849,2025-06-12,2025-06-15,Entregado,Logística,FedEx,Entregado a tiempo
ET-02850,C-002850,2025-06-22,,Enviado,Propia,,
ET-02851,C-002851,2025-08-04,2025-08-04,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02853,C-002853,2025-08-12,2025-08-15,Entregado,Logística,UPS,Entregado a tiempo
ET-02854,C-002854,2025-06-16,2025-06-19,Entregado,Logística,FedEx,Entregado a tiempo
ET-02855,C-002855,2025-06-08,,Enviado,Propia,,
ET-02856,C-002856,2025-06-14,2025-06-17,Entregado,Logística,SEUR,Entregado a tiempo
ET-02859,C-002859,2025-06-14,2025-06-18,Entregado,Logística,MRW,Retrasado
ET-02860,C-002860,2025-07-17,,Enviado,Logística,FedEx,
ET-02861,C-002861,2025-08-12,,Cancelado,Logística,Amazon Logistics,
ET-02862,C-002862,2025-08-12,,Cancelado,Logística,SEUR,
ET-02867,C-002867,2025-07-11,2025-07-13,Entregado,Propia,,Entregado a tiempo
ET-02871,C-002871,,,Pendiente,Propia,,
ET-02872,C-002872,2025-06-22,,Enviado,Propia,,
ET-02873,C-002873,2025-08-10,2025-08-14,Entregado,Propia,,Retrasado
ET-02875,C-002875,,,Pendiente,Logística,Amazon Logistics,
ET-02876,C-002876,2025-08-10,2025-08-14,Entregado,Logística,UPS,Retrasado
ET-02878,C-002878,2025-07-22,2025-07-23,Entregado,Propia,,Entregado a tiempo
ET-02879,C-002879,2025-07-18,2025-07-21,Entregado,Propia,,Entregado a tiempo
ET-02880,C-002880,2025-08-08,,Enviado,Propia,,
ET-02881,C-002881,2025-08-10,2025-08-10,Entregado,Logística,MRW,Entregado a tiempo
ET-02883,C-002883,2025-06-05,2025-06-07,Entregado,Propia,,Entregado a tiempo
ET-02884,C-002884,2025-08-22,2025-08-26,Entregado,Propia,,Retrasado
ET-02886,C-002886,,,Pendiente,Propia,,
ET-02889,C-002889,2025-08-11,,Enviado,Propia,,
ET-02892,C-002892,2025-08-15,,Enviado,Logística,Correos Express,
ET-02893,C-002893,2025-08-26,,Enviado,Propia,,
ET-02894,C-002894,2025-06-07,,Enviado,Logística,MRW,
ET-02895,C-002895,2025-07-11,2025-07-14,Entregado,Propia,,Entregado a tiempo
ET-02897,C-002897,2025-08-15,2025-08-18,Entregado,Propia,,Entregado a tiempo
ET-02899,C-002899,2025-06-02,,Enviado,Propia,,
ET-02900,C-002900,2025-06-04,,Cancelado,Propia,,
ET-02901,C-002901,2025-08-17,,Cancelado,Propia,,
ET-02904,C-002904,2025-08-18,2025-08-19,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02908,C-002908,2025-08-18,2025-08-20,Entregado,Propia,,Entregado a tiempo
ET-02909,C-002909,,,Pendiente,Logística,MRW,
ET-02915,C-002915,2025-07-25,,Enviado,Propia,,
ET-02917,C-002917,,,Pendiente,Propia,,
ET-02918,C-002918,2025-07-14,,Enviado,Propia,,
ET-02919,C-002919,2025-06-04,,Enviado,Logística,MRW,
ET-02921,C-002921,2025-07-18,2025-07-21,Entregado,Logística,FedEx,Entregado a tiempo
ET-02922,C-002922,2025-07-16,2025-07-20,Entregado,Propia,,Retrasado
ET-02924,C-002924,2025-08-26,,Cancelado,Logística,Amazon Logistics,
ET-02925,C-002925,2025-08-02,,Enviado,Propia,,
ET-02927,C-002927,2025-07-09,2025-07-11,Entregado,Propia,,Entregado a tiempo
ET-02929,C-002929,2025-07-04,,Cancelado,Logística,UPS,
ET-02930,C-002930,2025-07-09,,Cancelado,Propia,,
ET-02932,C-002932,2025-07-20,2025-07-24,Entregado,Logística,UPS,Retrasado
ET-02933,C-002933,2025-08-09,2025-08-13,Entregado,Logística,UPS,Retrasado
ET-02934,C-002934,2025-06-02,,Cancelado,Logística,Amazon Logistics,
ET-02936,C-002936,2025-08-25,2025-08-25,Entregado,Propia,,Entregado a tiempo
ET-02937,C-002937,2025-07-13,2025-07-17,Entregado,Propia,,Retrasado
ET-02938,C-002938,2025-08-13,2025-08-17,Entregado,Logística,Amazon Logistics,Retrasado
ET-02939,C-002939,2025-07-12,,Enviado,Logística,FedEx,
ET-02944,C-002944,2025-06-28,,Cancelado,Propia,,
ET-02945,C-002945,2025-06-28,2025-07-01,Entregado,Propia,,Entregado a tiempo
ET-02946,C-002946,2025-07-16,,Enviado,Logística,Correos Express,
ET-02947,C-002947,2025-06-08,2025-06-09,Entregado,Logística,DHL,Entregado a tiempo
ET-02948,C-002948,2025-08-13,2025-08-16,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02949,C-002949,2025-07-21,,Enviado,Propia,,
ET-02950,C-002950,2025-08-10,2025-08-12,Entregado,Logística,UPS,Entregado a tiempo
ET-02952,C-002952,2025-07-06,,Enviado,Logística,Correos Express,
ET-02954,C-002954,2025-07-21,,Enviado,Logística,SEUR,
ET-02960,C-002960,2025-07-29,2025-08-01,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02963,C-002963,2025-06-27,,Enviado,Propia,,
ET-02965,C-002965,2025-07-26,,Enviado,Propia,,
ET-02967,C-002967,2025-07-09,,Cancelado,Logística,Correos Express,
ET-02968,C-002968,2025-08-06,,Enviado,Propia,,
ET-02970,C-002970,2025-06-16,2025-06-17,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02971,C-002971,2025-06-27,,Enviado,Propia,,
ET-02972,C-002972,2025-07-10,,Enviado,Propia,,
ET-02973,C-002973,2025-07-15,2025-07-18,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-02974,C-002974,2025-07-30,,Enviado,Logística,SEUR,
ET-02975,C-002975,2025-08-01,2025-08-05,Entregado,Logística,FedEx,Retrasado
ET-02976,C-002976,2025-08-04,,Enviado,Propia,,
ET-02977,C-002977,2025-07-19,2025-07-22,Entregado,Propia,,Entregado a tiempo
ET-02978,C-002978,2025-08-11,2025-08-15,Entregado,Propia,,Retrasado
ET-02979,C-002979,2025-08-29,,Enviado,Propia,,
ET-02981,C-002981,2025-06-24,2025-06-27,Entregado,Propia,,Entregado a tiempo
ET-02982,C-002982,2025-07-13,,Enviado,Logística,Amazon Logistics,
ET-02986,C-002986,2025-08-27,2025-08-28,Entregado,Logística,Correos Express,Entregado a tiempo
ET-02989,C-002989,2025-06-30,2025-07-01,Entregado,Logística,FedEx,Entregado a tiempo
ET-02990,C-002990,2025-06-13,2025-06-14,Entregado,Propia,,Entregado a tiempo
ET-02991,C-002991,,,Pendiente,Propia,,
ET-02992,C-002992,,,Pendiente,Logística,FedEx,
ET-02995,C-002995,2025-06-27,,Enviado,Logística,UPS,
ET-02997,C-002997,2025-07-16,,Enviado,Logística,DHL,
ET-02999,C-002999,2025-07-21,2025-07-23,Entregado,Logística,DHL,Entregado a tiempo
ET-03000,C-003000,2025-07-02,,Enviado,Logística,Correos Express,
ET-03001,C-003001,2025-06-25,2025-06-28,Entregado,Propia,,Entregado a tiempo
ET-03004,C-003004,2025-06-08,,Enviado,Logística,DHL,
ET-03005,C-003005,2025-08-21,2025-08-24,Entregado,Logística,SEUR,Entregado a tiempo
ET-03006,C-003006,2025-06-10,,Cancelado,Logística,UPS,
ET-03007,C-003007,2025-08-02,2025-08-04,Entregado,Propia,,Entregado a tiempo
ET-03012,C-003012,2025-07-31,,Enviado,Logística,FedEx,
ET-03013,C-003013,2025-06-13,2025-06-16,Entregado,Logística,SEUR,Entregado a tiempo
ET-03014,C-003014,,,Pendiente,Propia,,
ET-03016,C-003016,2025-08-10,2025-08-12,Entregado,Propia,,Entregado a tiempo
ET-03017,C-003017,2025-08-28,2025-08-31,Entregado,Propia,,Entregado a tiempo
ET-03018,C-003018,2025-08-08,2025-08-08,Entregado,Logística,SEUR,Entregado a tiempo
ET-03019,C-003019,,,Pendiente,Logística,MRW,
ET-03022,C-003022,2025-07-07,,Enviado,Propia,,
ET-03023,C-003023,2025-06-26,2025-06-30,Entregado,Logística,Amazon Logistics,Retrasado
ET-03024,C-003024,2025-08-17,,Cancelado,Logística,FedEx,
ET-03027,C-003027,2025-06-16,2025-06-16,Entregado,Propia,,Entregado a tiempo
ET-03028,C-003028,2025-06-26,,Cancelado,Logística,DHL,
ET-03029,C-003029,2025-07-05,2025-07-05,Entregado,Propia,,Entregado a tiempo
ET-03030,C-003030,2025-06-22,2025-06-26,Entregado,Propia,,Retrasado
ET-03031,C-003031,2025-08-14,2025-08-15,Entregado,Logística,UPS,Entregado a tiempo
ET-03032,C-003032,2025-08-04,2025-08-06,Entregado,Logística,DHL,Entregado a tiempo
ET-03033,C-003033,,,Pendiente,Logística,MRW,
ET-03034,C-003034,2025-06-13,,Cancelado,Propia,,
ET-03035,C-003035,2025-06-09,2025-06-12,Entregado,Propia,,Entregado a tiempo
ET-03036,C-003036,2025-07-10,,Enviado,Propia,,
ET-03037,C-003037,2025-07-18,2025-07-19,Entregado,Propia,,Entregado a tiempo
ET-03038,C-003038,2025-06-30,2025-07-02,Entregado,Logística,SEUR,Entregado a tiempo
ET-03041,C-003041,2025-08-26,2025-08-26,Entregado,Propia,,Entregado a tiempo
ET-03042,C-003042,2025-07-05,2025-07-07,Entregado,Logística,MRW,Entregado a tiempo
ET-03043,C-003043,2025-07-04,2025-07-06,Entregado,Propia,,Entregado a tiempo
ET-03044,C-003044,2025-06-10,,Cancelado,Propia,,
ET-03045,C-003045,2025-07-31,2025-08-01,Entregado,Propia,,Entregado a tiempo
ET-03047,C-003047,,,Pendiente,Logística,FedEx,
ET-03048,C-003048,2025-08-28,2025-08-29,Entregado,Logística,UPS,Entregado a tiempo
ET-03049,C-003049,,,Pendiente,Logística,Amazon Logistics,
ET-03050,C-003050,2025-07-04,2025-07-04,Entregado,Propia,,Entregado a tiempo
ET-03051,C-003051,2025-08-21,,Enviado,Logística,UPS,
ET-03055,C-003055,2025-06-27,,Enviado,Logística,FedEx,
ET-03056,C-003056,2025-08-27,2025-08-27,Entregado,Logística,Correos Express,Entregado a tiempo
ET-03058,C-003058,,,Pendiente,Propia,,
ET-03059,C-003059,2025-07-08,2025-07-10,Entregado,Propia,,Entregado a tiempo
ET-03060,C-003060,2025-06-19,2025-06-19,Entregado,Logística,Correos Express,Entregado a tiempo
ET-03062,C-003062,,,Pendiente,Logística,DHL,
ET-03063,C-003063,2025-08-12,,Enviado,Logística,Correos Express,
ET-03064,C-003064,2025-06-28,,Enviado,Logística,SEUR,
ET-03066,C-003066,2025-06-03,,Enviado,Propia,,
ET-03068,C-003068,2025-08-10,,Enviado,Propia,,
ET-03069,C-003069,2025-08-16,2025-08-17,Entregado,Propia,,Entregado a tiempo
ET-03070,C-003070,,,Pendiente,Propia,,
ET-03072,C-003072,2025-06-16,,Cancelado,Logística,MRW,
ET-03073,C-003073,2025-06-16,2025-06-20,Entregado,Propia,,Retrasado
ET-03074,C-003074,2025-08-02,2025-08-04,Entregado,Propia,,Entregado a tiempo
ET-03075,C-003075,2025-08-08,2025-08-11,Entregado,Logística,FedEx,Entregado a tiempo
ET-03076,C-003076,2025-08-28,2025-08-29,Entregado,Logística,FedEx,Entregado a tiempo
ET-03080,C-003080,2025-06-30,2025-07-04,Entregado,Propia,,Retrasado
ET-03082,C-003082,2025-08-27,2025-08-28,Entregado,Logística,Amazon Logistics,Entregado a tiempo
ET-03083,C-003083,2025-08-28,2025-08-28,Entregado,Propia,,Entregado a tiempo
ET-03085,C-003085,2025-08-17,,Enviado,Propia,,
ET-03086,C-003086,2025-08-13,2025-08-14,Entregado,Logística,SEUR,Entregado a tiempo
ET-03087,C-003087,2025-06-03,2025-06-03,Entregado,Propia,,Entregado a tiempo
ET-03091,C-003091,2025-07-03,2025-07-05,Entregado,Propia,,Entregado a tiempo
ET-03093,C-003093,2025-06-27,2025-07-01,Entregado,Logística,Amazon Logistics,Retrasado
ET-03098,C-003098,2025-07-12,,Enviado,Propia,,
ET-03099,C-003099,2025-08-19,2025-08-22,Entregado,Propia,,Entregado a tiempo
ET-03100,C-003100,2025-08-17,,Cancelado,Propia,,
ET-03101,C-003101,,,Pendiente,Logística,SEUR,
ET-03105,C-003105,2025-08-17,2025-08-20,Entregado,Propia,,Entregado a tiempo
ET-03107,C-003107,2025-06-29,2025-06-29,Entregado,Propia,,Entregado a tiempo
